"General","장군"
"World","세계"
"Adventurer","모험가"
"Dwarf mode","드워프 모드"
"Embark","착수"
"Stockorder","재고 주문"
"Militia","민병대"
"Text entry","텍스트 입력"
"its","그것의"
"it","이것"
"itself","그 자체"
"Activity","활동"
"Training Session","훈련 시간"
"Activity Event","활동 이벤트"
"Research","연구"
"Play","놀이"
"Worship","숭배"
"Socialize","교류"
" empty "," 빈 "
" empties "," 빈 상자 "
" pick up "," 줍기 "
" picks up "," 줍기 "
"straight scar.  ","직선 흉터. "
" embraces "," 포옹 "
"elk","고라니"
" symbols"," 기호"
" has shared many tales from beyond "," 저 너머에서 온 많은 이야기들을 들려주었다 "
" has shared a few rumors."," 몇 가지 소문을 공유했다."
" has shared a rumor from abroad."," 요새 밖의 소문을 공유했다."
" gives you "," 당신에게 준다 "
" has discovered "," 발견했다 "
"discourse on ethics as it regards the benefit of the state","국가의 이익을 고려한 윤리에 관한 담론"
"discourse on the meaning of individual happiness","개인의 행복의 의미에 대한 담론"
"discourse on medical ethics","의료윤리 담론"
"discourse on the nature of truth","진리의 본질에 대한 담론"
"discourse on the nature of justification","정당화의 본질에 대한 담론"
"discourse on the nature of perception","지각의 본질에 대한 담론"
"discourse on the nature of belief","믿음의 본질에 대한 담론"
"discourse on the relationship between wholes and parts","전체와 부분의 관계에 대한 담론"
"discourse on the relationship between objects and their properties","사물과 그 속성 사이의 관계에 대한 담론"
"discourse on the nature of mind and body","몸과 마음의 본질에 대한 담론"
"discourse on the nature of time","시간의 본질에 대한 담론"
"discourse on the nature of existence","존재의 본질에 대한 담론"
"discourse on the nature of events","사건의 본질에 대한 담론"
"discourse on ethics as applied to war","전쟁에 적용되는 윤리 담론"
"discourse on the nature of causation","원인의 본질에 대한 담론"
"discourse on the nature of processes","프로세스의 본질에 대한 담론"
"discourse on ethics as applied to interpersonal conduct","대인 관계에 적용되는 윤리 담론"
"discourse on education","교육 담론"
"discourse on law","법에 대한 담론"
"discourse on grammar","문법에 대한 담론"
"discourse on social welfare","사회복지 담론"
"discourse on economic policy","경제정책 담론"
"discourse on government","정부 담론"
"discourse on diplomacy","외교 담론"
"the notion of etymology","어원의 개념"
"discourse on the value of art","예술의 가치에 대한 담론"
"discourse on the nature of beauty","아름다움의 본질에 대한 담론"
"the idea of using symbolic notation for addition","덧셈에 기호 표기법을 사용하는 아이디어"
"the notion of conflict between members of a community","커뮤니티 구성원 간의 갈등 개념"
"the notion of bonds between members of a community","커뮤니티 구성원 간의 유대 개념"
"the notion of historical, governmental and social cycles","역사적, 정부적, 사회적 주기의 개념"
"discourse on the causes of historical events","역사적 사건의 원인에 대한 담론"
"the idea of source reliability","소스 신뢰성의 아이디어"
" has become a student of "," 의 학생이 되었다 "
"Ponder ","숙고하다 "
"Learn ","배우다 "
"Teach ","가르치다 "
"Discuss ","의논 "
"Read","읽기"
"Write","쓰다"
"Write about ","에 대해 쓰다 "
"Copy","복사"
"Meditate on ","명상하다 "
"Pray to ","에게 기도하다 "
"Go to Combat Training","전투 훈련을 받았다"
"Organize Combat Training","전투 훈련 구성"
"Lead Combat Training","전투 훈련을 지휘하다"
"Wait for Combat Training","전투 훈련 대기"
"Play Make Believe","역할놀이하기"
"Play with ","와 놀다 "
"Toy","장난감"
"Inveigh Against ","을/를 비난했다 "
"Promote ","홍보하다 "
"Law","법"
"Loyalty","충의"
"Family","가족"
"Friendship","우정"
"Power","힘"
"Truth","진실"
"Cunning","교활한"
"Eloquence","웅변"
"Fairness","공정"
"Decorum","예의"
"Tradition","전통"
"Artwork","미술품"
"Cooperation","협력"
"Independence","독립"
"Stoicism","금욕"
"Introspection","자기성찰"
"Self-Control","자기 조절"
"Tranquility","평온"
"Harmony","조화"
"Merriment","명랑"
"Craftsmanship","장인 정신"
"Martial Prowess","무술"
"Skill","기술"
"Hard Work","힘든 일"
"Sacrifice","희생"
"Competition","경쟁"
"Perseverance","인내"
"Leisure Time","여가 시간"
"Commerce","상업"
"Romance","로맨스"
"Nature","자연"
"Peace","평화"
"Knowledge","지식"
"Preach on ","에 대해 설교했다 "
"Listen to Sermon","설교를 듣다"
"Tell Story","이야기하기"
"Listen to Story","이야기 듣기"
"Listen to Poetry","시를 듣다"
"Play ","활동 "
"Simulate ","가장하다 "
"Sing","노래"
"Chant","성가"
"Recite Poetry","시 암송하기"
"Perform Music","음악을 연주하다"
"Listen to Music","음악을 듣다"
"Perform Dance","춤을 공연하다"
"Watch Dance","춤을 보다"
"Go to ","에 간다 "
" Demonstration"," 설명"
"Lead ","이끌다 "
"Organize ","조직하다 "
"Watch ","보다 "
"Wait for ","을/를 기다린다 "
"Serve Customer","접객한다"
"Serve ","제공하다 "
"Go to Individual Combat Drill","개인 전투 훈련으로 이동"
"Individual Combat Drill","개인 전투 훈련"
"/Resting","/휴식"
"Go to Sparring Match","대련을 하러 가다"
"Spar","대련"
"Go to Sparring Practice","대련 연습을 하다"
"Watch Sparring Practice","대련하는 것을 보다"
"Archery Practice","궁술 연습"
"You cannot perform here.","당신은 여기서 공연할 수 없다."
"You could not find a partner.","당신은 파트너를 찾을 수 없었다."
"There are not enough dancers.","춤꾼이 충분하지 않다."
"There is not enough room to perform here.","여기서 공연하기에는 공간이 좁다."
"You","당신"
"Some children","몇몇 아이들"
"is","은/는"
"are","은/는"
"begins","시작한다"
"begin","시작한다"
" playing make believe."," 역할놀이하기"
" playing with "," 놀다 "
"a toy","장난감"
"The performers","공연자들"
"a sermon on ","에 대한 설교 "
"the story of ","의 이야기 "
"reciting the poem ","시 낭송 "
"an improvised recital of ","즉흥 연주회 "
"the musical composition ","음악 작곡 "
"improvised music, ","즉흥적인 음악, "
"dancing ","춤 "
"an improvised dance, ","즉흥적인 춤, "
" in the middle of "," 한복판에 "
"You continue the sermon.","당신은 설교를 계속한다."
"The sermon continues.","설교가 계속된다."
"You continue the story.","당신은 이야기를 계속한다."
"The story continues.","이야기가 계속된다."
"You begin","당신은 시작한다"
"The poetry enters","시 낭송이 시작된다"
"the ","의 "
" line."," 선."
"the verse paragraph","한 단락"
" verse paragraph"," 한 단락"
"the stanza","시구"
" stanza"," 시구"
"You continue the poem.","당신은 시를 계속한다."
"The poem continues.","시는 계속된다."
"You enter ","당신은 들어간다 "
"The dance enters a new section with ","춤이 새로운 부분으로 들어간다 "
"The music enters ","음악이 흘러나온다 "
"a simple passage","단순한 통로"
"the introduction","서론"
"the exposition","박람회"
